Id,Supplier,Recipient,No. ordered,No. ordered data uncertain,Designation,Description,Status,Status data uncertain,Year of order,Year of order data uncertain,Year(s) of deliveries,No. delivered,Year(s) of delivery or no. delivered data uncertain,Recipient Involvement,Comment
4421,China,Ethiopia,75,Yes,PL-11/FD-60,BVRAAM,New,,2012,Yes,2013 - 2013,75,Yes,,For HQ-64 SAM system
9430,China,Indonesia,8,Yes,TD-2000B,AD system,New,,2008,,2012 - 2013,8,Yes,,Part of $35 m deal
29853,China,Indonesia,200,Yes,QW-3,Portable SAM,New,,2008,,2012 - 2013,200,Yes,,For TD-2000B AD system
38212,China,Indonesia,2,Yes,SR-74,Air search radar,New,,2008,Yes,2012 - 2013,2,Yes,,For use with TD-2000B AD systems
13515,China,Indonesia,24,Yes,Type-360 Seagull,Air search radar,New,,2009,Yes,2011 - 2013,4,Yes,,For 24 KCR-40 FAC produced in Indonesia; designation and supplier uncertain
37650,China,Laos,2,,MA-60,Transport aircraft,New,,2012,Yes,2013 - 2013,2,,,MA-600 version
23080,China,Myanmar,50,Yes,K-8 Karakorum-8,Trainer/combat ac,New,,2009,,2011 - 2013,50,Yes,,No. could be 60 or 72; assembled in Myanmar
26354,China,Myanmar,100,Yes,WMA-301 Assaulter,AFSV,New,,2010,Yes,2012 - 2013,50,Yes,,
37049,China,Myanmar,76,Yes,WZ-551/Type-92,IFV,New,,2011,Yes,2012 - 2013,76,Yes,,
5946,China,Myanmar,50,Yes,Type-90-2/MBT-2000,Tank,New,,2009,,2012 - 2013,50,Yes,,
37455,China,Pakistan,4,,ZDK-03,AEW&C aircraft,New,,2008,,2011 - 2013,3,Yes,,$278 m deal
9478,China,Pakistan,50,Yes,JF-17 Thunder/FC-1,FGA aircraft,New,,1999,,2007 - 2013,50,Yes,Yes,JF-17 Block-1 version; developed for Pakistan; incl production of components and assembly in Pakistan; incl 8 mainly for testing and first 42 production version ordered 2009 for $800 m
34329,China,Pakistan,500,Yes,Type-90-2/MBT-2000,Tank,New,,1998,Yes,2001 - 2013,328,Yes,Yes,MBT-2000 (Al Khalid or P-90) version
27088,China,Pakistan,100,Yes,C-802/CSS-N-8,Anti-ship missile,New,,2008,Yes,2012 - 2013,20,Yes,,For JF-17 combat aircraft
27089,China,Pakistan,30,Yes,C-802/CSS-N-8,Anti-ship missile,New,,2010,Yes,2012 - 2013,20,Yes,,For Azmat FAC
36184,China,Pakistan,50,Yes,CM-400AKG,Anti-ship missile,New,,2010,Yes,2012 - 2013,20,Yes,,For JF-17 combat aircraft
36049,China,Pakistan,,,Red Arrow-8,Anti-tank missile,New,,1989,,1990 - 2013,21850,Yes,Yes,Pakistani designation Baktar Shikan
19798,China,Pakistan,800,Yes,PL-12/SD-10,BVRAAM,New,,2006,Yes,2010 - 2013,200,Yes,,For JF-17 and possibly modernized Mirage-3/5 combat aircraft
27376,China,Pakistan,750,Yes,LS-3,Guided bomb,New,,2008,Yes,2010 - 2013,275,Yes,,For JF-17 combat aircraft
36407,China,Pakistan,1000,Yes,LS-6-500,Guided bomb,New,,2008,Yes,2010 - 2013,250,Yes,,For JF-17 combat aircraft
33231,China,Pakistan,750,Yes,LT-2,Guided bomb,New,,2008,Yes,2010 - 2013,250,Yes,,For JF-17 combat aircraft
7920,China,Pakistan,100,Yes,R-440 Crotale,SAM,New,,2005,Yes,2009 - 2013,100,Yes,,For Jiangwei (F-22P) frigates; HQ-7 (FM-80) version
21542,China,Pakistan,1000,Yes,PL-5E,SRAAM,New,,2006,Yes,2009 - 2013,360,Yes,,For JF-17 combat aircraft; PL-5E-II version
32000,China,Pakistan,200,Yes,WMD-7,Aircraft EO system,New,,2008,Yes,2009 - 2013,50,Yes,,For JF-17 combat aircraft
37178,China,Pakistan,4,,F-22,Frigate,New,,2005,,2009 - 2013,4,,Yes,$500-750 m deal; F-22P version; incl 1 produced in Pakistan; Pakistani designation Zulfiquar
7319,China,Sudan,,Yes,Type-63 107mm,Towed MRL,New,Yes,2000,Yes,2001 - 2013,450,Yes,Yes,Incl production in Sudan as TAKA-1
3169,China,Tanzania,30,Yes,Type-59G,Tank,New,,2007,Yes,2011 - 2013,30,Yes,,Tanzanian Type-59 rebuilt to Type-59G
28458,China,Thailand,18,Yes,WS-1 302mm,Self-propelled MRL,New,,2008,Yes,2011 - 2013,18,Yes,Yes,Thai designation DTi-1
27086,China,Thailand,60,Yes,C-802/CSS-N-8,Anti-ship missile,New,,2007,Yes,2009 - 2013,52,Yes,,For modernized Chao Phraya frigates
4007,China,Venezuela,8,,Y-8,Transport aircraft,New,,2011,,2012 - 2013,6,,,Y-8F-200W version; delivery 2012-2014
37107,Czech Republic,Mexico,10,,Z-142/Z-242L,Trainer aircraft,New,,2013,,2013 - 2013,6,Yes,,MXN81 m ($6.3 m) deal; Z-242L version; delivery 2013-2014
13562,Czech Republic,Poland,2,,Z-143L,Light aircraft,New,,2012,Yes,2013 - 2013,2,Yes,,For training; Z-143Lis version
36525,Czech Republic,Slovakia,2,,L-410 Turbolet,Light transport ac,New,,2012,,2013 - 2013,2,,,EUR9.8 m deal; L-410UVP-20 version
26629,Denmark,Brazil,3,,Scanter-4100,Air/sea search radar,New,,2011,,2012 - 2013,3,,,For 3 VT-90M OPV from UK
26627,Denmark,Colombia,1,,SCANTER-2001,Sea search radar,New,,2011,Yes,2013 - 2013,1,,,For 2 OPV-80 OPV from FRG
13494,Denmark,Netherlands,4,,Compact 76mm,Naval gun,SecondHand,,2007,Yes,2011 - 2013,4,Yes,,Ex-Danish; for 2 Holland OPV produced in Netherlands and 2 from Romania
26620,Denmark,United Arab Emirates,6,,SCANTER-2001,Sea search radar,New,,2004,,2011 - 2013,4,Yes,,For 6 Baynunah corvettes from France
4061,Finland,Colombia,4,,W-12,Diesel engine,New,,2011,Yes,2013 - 2013,2,,,For 2 OPV-80 OPV from FRG
37926,Finland,Poland,332,,AMV,APC,New,,2003,,2004 - 2013,324,Yes,Yes,Part of PLN4.9 b ($1.45 b) 'Suhak' programme (incl $308 m for turrets from Italy; offsets 133% incl production of most in Poland); XC-360P version; incl command post and 32 reconnaissance version; Polish designation Rosomak
38185,Finland,Poland,313,,AMV,IFV,New,,2003,,2004 - 2013,272,Yes,Yes,Part of PLN4.9 b ($1.45 b) 'Suhak' programme (incl $308 m for turrets from Italy; offsets 133% incl production of most in Poland); XC-360P version; incl 313 IFV and 32 reconnaissance version; Polish designation Rosomak
4050,Finland,Portugal,4,,W-12,Diesel engine,New,,2002,Yes,2010 - 2013,4,,,For 2 NPO-2000 (Do Castelo) OPV produced in Portugal
23390,Finland,Saudi Arabia,36,,NEMO 120mm,Mortar turret,New,,2011,Yes,2012 - 2013,36,Yes,,EUR100 m deal; for 36 Piranha (LAV-2) mortar carriers from Canada; delivery 2012-2013
37927,Finland,Sweden,113,,AMV,APC,New,,2010,,2013 - 2013,70,Yes,Yes,"SEK2.5 b deal ($338 m; offsets 100% incl production of components in Sweden); incl 14 CP, 18 ambulance and 7 ARV version; option on 113 more; Swedish designation Ptb-360; delivery 2013-2014"
23389,Finland,United Arab Emirates,6,,NEMO 120mm,Mortar turret,New,,2009,,2013 - 2013,3,Yes,,For modification of 6 Ghannatha transport craft to fire support craft
28069,France,Albania,5,,AS-532 Cougar/AS-332,Helicopter,New,,2009,,2012 - 2013,5,Yes,,EUR79 m deal; AS-532AL version
37157,France,Australia,34,,NH-90 TTH,Helicopter,New,,2006,,2011 - 2013,17,Yes,Yes,AUD2 b ($1.5 b) 'Project Air-9000 Phase-3' or 'Project Air-9000 Phase-4' (incl 10 year support; assembled in Australia); MRH-90 version; delivery 2011-2015
34443,France,Australia,300,Yes,MU90 IMPACT,ASW torpedo,New,,2003,,2008 - 2013,120,Yes,Yes,EUR150 m 'Joint Project-2070 Djimindi Phase-3' (incl up to 35% of components produced in Australia)
9606,France,Australia,17,,Vampyr,Air search system,New,,2005,,2011 - 2013,4,Yes,,For modernization of 8 MEKO-200 (Anzac) frigates
35817,France,Australia,24,,FLASH,ASW sonar,New,,2011,,2013 - 2013,2,,,For 24 MH-60R ASW helicopters from USA; from US production line
15632,France,Bangladesh,6,Yes,PA6,Diesel engine,New,,2011,Yes,2013 - 2013,2,,,For 2 LPC-1 corvettes from China; probably from Chinese production line
37148,France,Belgium,4,,NH-90 TTH,Helicopter,New,,2007,,2012 - 2013,2,Yes,,Part of EUR300 m deal; incl for SAR; option on 2 more; delivery 2012-2014
10198,France,Benin,4,,LH-10 Ellipse,Trainer aircraft,New,,2010,Yes,2011 - 2013,4,Yes,,For training and reconnaissance
14475,France,Brazil,48,,EC-225/EC-725,Helicopter,New,,2008,,2010 - 2013,8,Yes,Yes,"EUR1.9 b deal; Brazilian designation H-36, HM-4 and UH-15; delivery 2010-2017"
33162,France,Brazil,4,,P-400,Patrol craft,New,,2009,,2012 - 2013,2,Yes,Yes,NAPA-500 version; Brazilian designation Macae; delivery 2012-2014
20120,France,Canada,2,,Ground Master-400,Air search radar,New,,2010,,2013 - 2013,1,Yes,,CAD56 m ($55 m) deal
28075,France,Chile,1,,AS-532 Cougar/AS-332,Helicopter,New,,2012,,2013 - 2013,1,,,$25 m deal; AS-532 version
20127,France,Chile,4,Yes,Ground Master-400,Air search radar,New,,2011,,2013 - 2013,1,Yes,,
2087,France,China,,,Crotale,SAM system,New,,1978,Yes,1992 - 2013,44,Yes,Yes,"Chinese designation HQ-7, FM-80 and FM-90; possibly FM-80 and/or FM-90 produced in China are modified Chinese design"
30027,France,China,,,SA-321 Super Frelon,Helicopter,New,,1981,Yes,2001 - 2013,50,Yes,Yes,"Chinese designation Z-8 (incl Z-8A, Z-8B, Z-8K, Z-8S and Z-8JH versions)"
32113,France,China,,Yes,AS365/AS565 Panther,Helicopter,New,,1988,,1992 - 2013,357,Yes,Yes,Chinese designation Z-9A or Z-9A-100 Haitun and Z-9B/G; incl Z-9WZ anti-tank version
31165,France,Ecuador,9,,AS-350/AS-550 Fennec,Light helicopter,New,,2010,,2011 - 2013,6,,,Incl 2 AS-350B2 and 7 AS-550C3 version; delivery 2011-2015
10297,France,Egypt,3,,MRR-3D,Air search radar,New,,2006,Yes,2013 - 2013,1,Yes,,For 3 Ambassador-4 corvettes from USA; possibly from US production line
20119,France,Estonia,2,,Ground Master-400,Air search radar,New,,2009,,2013 - 2013,1,,,EUR28 m deal (part of EUR200 m deal incl 12 for Finland); Ground Master-403 version; for 'BALTNET' air surveillance network; delivery 2013-2014
37145,France,Finland,10,Yes,NH-90 TTH,Helicopter,New,,2001,,2008 - 2013,10,Yes,Yes,Part of $350 m deal (for 20 NH-90 from France and Italy; $520 m incl support; offsets incl assembly of 18)
20123,France,Finland,12,,Ground Master-400,Air search radar,New,,2009,,2013 - 2013,4,Yes,,Part of EUR200 m deal (incl 2 more for Estonia); Ground Master-403 version; Finnish designation KEVA-2010; delivery 2013-2015
20125,France,Germany,6,,Ground Master-400,Air search radar,New,,2010,,2013 - 2013,2,Yes,Yes,EUR100 m 'ARED' programme; delivery by 2015
37151,France,Greece,20,,NH-90 TTH,Helicopter,New,,2003,,2011 - 2013,9,Yes,Yes,"EUR546 m deal (originally EUR657 m but reduced 2010 as compensation for delayed delivery; offsets 120% incl production of components in Greece); bought from France, FRG and Italy; option on 14 more; delivery delayed from 2006 to 2011-2015"
30231,France,Greece,60,Yes,MM-40-3 Exocet,Anti-ship MI/SSM,New,,2008,Yes,2010 - 2013,40,Yes,,For Super Vita (Roussen) FAC
15637,France,India,8,,PA6,Diesel engine,New,,2006,Yes,2013 - 2013,4,,,For 4 Saryu OPV produced in India
17098,France,India,22250,Yes,MILAN,Anti-tank missile,New,,1979,Yes,1984 - 2013,20400,Yes,Yes,MILAN-2 and MILAN-2T version; ordered from French-FRG company; most produced in India; incl for BMP-2 IFV
20208,France,India,19,,GS-100,Air search radar,New,,2009,,2010 - 2013,10,Yes,Yes,Incl 13 produced in India
18917,France,Indonesia,100,Yes,Sherpa,APV,New,,2011,,2011 - 2013,54,Yes,Yes,Indonesian designation Elang
8419,France,Indonesia,37,,CAESAR 155mm,Self-propelled gun,New,,2012,,2013 - 2013,2,Yes,,EUR108 m deal
15582,France,Indonesia,12,,MIDR,Diesel engine,New,,2010,Yes,2013 - 2013,12,Yes,,For Anao (APS-3 or Panser 6x6) APC produced in Indonesia
24422,France,Indonesia,100,Yes,Mistral,Portable SAM,New,,2012,Yes,2013 - 2013,50,Yes,,For use with ATLAS launchers on Komodo APC produced in Indonesia
4624,France,Indonesia,3,Yes,Ocean Master,MP aircraft radar,New,,2009,,2013 - 2013,1,,,For 3 CN-235MPA MP aircraft produced in Indonesia
10362,France,Italy,12,Yes,UMS-4110,ASW sonar,New,,2000,Yes,2007 - 2013,3,,,For 2 Doria (Horizon) destroyers and 10 Bergamini (FREMM) frigates produced in Italy; UMS-4110CL version
15155,France,Japan,,,MO-120-RT 120mm,Mortar,New,,1992,,1993 - 2013,444,Yes,Yes,Incl for Type-96 mortar carrier produced in Japan
6524,France,Madagascar,1,,Tetras,Light aircraft,New,,2013,,2013 - 2013,1,,,Aid
14467,France,Malaysia,12,,EC-225/EC-725,Helicopter,New,,2010,,2012 - 2013,8,Yes,,MYR1.6 b ($500 m) deal; for SAR; delivery 2012-2014
20122,France,Malaysia,1,,Ground Master-400,Air search radar,New,,2008,,2013 - 2013,1,,,
14480,France,Mexico,6,,EC-225/EC-725,Helicopter,New,,2010,,2012 - 2013,4,Yes,,Delivery 2012-2014
30233,France,Morocco,25,Yes,MM-40-3 Exocet,Anti-ship MI/SSM,New,,2008,Yes,2012 - 2013,25,Yes,,For SIGMA frigates
20128,France,Morocco,3,Yes,Ground Master-400,Air search radar,New,,2011,,2013 - 2013,1,Yes,,Ground Master-403 version
3080,France,Netherlands,24,Yes,RTM-332,Turboshaft,New,,2000,Yes,2010 - 2013,20,Yes,,For 12 NH-90 ASW helicopters from multi-national (incl Dutch) production; supplier could be UK or FRG
36179,France,Netherlands,13,,ENR,MP aircraft radar,New,,2000,,2010 - 2013,10,Yes,,For 12 NH-90 ASW helicopters from multi-national (incl Dutch) production (incl 1 spare ENR)
37154,France,New Zealand,8,,NH-90 TTH,Helicopter,New,,2006,,2011 - 2013,7,Yes,,NZD771 m ($500 m) 'Project Warrior'; delivery 2012-2014
6523,France,Niger,3,Yes,Tetras,Light aircraft,New,,2009,Yes,2010 - 2013,3,Yes,,Aid
6703,France,Niger,3,,SA-342 Gazelle,Light helicopter,Refurbished,Yes,2012,,2013 - 2013,3,,,Ex-French; part of CFA270 m ($77 m) aid; armed SA-342L-1 version; modernized before delivery
30972,France,Nigeria,2,Yes,FPB-98,Patrol craft,New,,2012,Yes,2013 - 2013,1,Yes,,
10298,France,Norway,6,,MRR-3D,Air search radar,New,,2003,,2010 - 2013,6,Yes,,MRR-3D(NG) version; for 6 Skjold FAC produced in Norway
35812,France,Norway,6,,FLASH,ASW sonar,New,,2002,,2011 - 2013,3,Yes,,For 6 NH-90 ASW helicopters from Italy
37155,France,Oman,20,,NH-90 TTH,Helicopter,New,,2004,,2010 - 2013,16,Yes,,EUR600-800 m deal; incl for SAR
30230,France,Oman,50,Yes,MM-40-3 Exocet,Anti-ship MI/SSM,New,,2006,,2013 - 2013,25,Yes,,For Al Shamikh (Khareef) frigates
36806,France,Oman,60,Yes,MICA,BVRAAM,New,,2007,Yes,2013 - 2013,30,Yes,,For VL-MICA-M SAM system on 3 Al Shamikh (Khareef) frigates
31159,France,Pakistan,10,,AS-350/AS-550 Fennec,Light helicopter,New,,2007,Yes,2013 - 2013,10,Yes,,Armed AS-550C3 version
30238,France,Peru,16,,MM-40-3 Exocet,Anti-ship MI/SSM,New,,2012,,2013 - 2013,16,Yes,,Part of $72-97 m deal; for modernized Lupo (Aguirre) frigates
38180,France,Poland,2,,Cabri G2,Light helicopter,New,,2013,,2013 - 2013,2,,,$1.1 m deal; for training
27892,France,Qatar,22,,HIGUARD,APC,New,,2011,,2012 - 2013,22,Yes,,For internal security force
18919,France,Qatar,10,,Sherpa,APV,New,,2011,,2012 - 2013,10,Yes,,For internal security force
30235,France,Qatar,70,Yes,MM-40-3 Exocet,Anti-ship MI/SSM,New,,2010,,2012 - 2013,70,Yes,,For Barzan (Vita) FAC
31169,France,Russia,3,,AS-350/AS-550 Fennec,Light helicopter,New,,2012,,2013 - 2013,3,,,AS-350B version; probably for evaluation
9051,France,Russia,2,,AS-355/AS-555,Light helicopter,New,,2012,,2013 - 2013,2,,,AS-355N3 version; probably for evaluation
34352,France,Saudi Arabia,49,Yes,MPCV,Mobile SAM system,New,,2011,,2013 - 2013,4,Yes,,For National Guard
30223,France,Saudi Arabia,73,,Aravis,APC,New,,2011,,2013 - 2013,25,Yes,,For National Guard
8418,France,Saudi Arabia,32,,CAESAR 155mm,Self-propelled gun,New,,2011,,2013 - 2013,16,Yes,,EUR169 m deal; assembled from kits in Saudi Arabia; delivery 2013-2014
15646,France,Saudi Arabia,1000,Yes,BONUS-2,Guided shell,New,,2011,Yes,2012 - 2013,1000,Yes,,
24419,France,Saudi Arabia,800,Yes,Mistral,Portable SAM,New,,2011,,2013 - 2013,60,Yes,,For MPCV SAM systems; Mistral-2 version
34354,France,Saudi Arabia,20,,Ground Master-60,Air search radar,New,,2011,,2013 - 2013,1,Yes,,Part of IMGP command/control systems for use with MPCV SAM system
21510,France,Saudi Arabia,30,Yes,Damocles,Aircraft EO system,New,,2007,Yes,2009 - 2013,25,Yes,,For Tornado and Typhoon combat aircraft; possibly incl assembly or production of components in Saudi Arabia
1575,France,Senegal,1,,RPB-33,Patrol craft,New,,2012,,2013 - 2013,1,Yes,,
4140,France,Singapore,300,Yes,ASTER-15 SAAM,SAM,New,,2001,Yes,2006 - 2013,300,Yes,,Part of $1.6 b 'Project Delta'; for La Fayette (Formidable) frigates
38105,France,Singapore,3,Yes,Ground Master-200,Air search radar,New,,2012,,2012 - 2013,3,Yes,,
24030,France,South Africa,22,Yes,Makila,Turboshaft,New,,1996,Yes,2011 - 2013,22,Yes,,For 11 AH-2A Rooivalk combat helicopters produced in South Africa; Makila-1K2 version
7430,France,Spain,24,,EC-665 Tiger,Combat helicopter,New,,2003,,2007 - 2013,7,Yes,Yes,EUR1.4 b deal; incl 6 HAP (later modernized to HAD) and 18 HAD version; incl production of 18 in Spain
37152,France,Spain,32,Yes,NH-90 TTH,Helicopter,New,,2005,,2013 - 2013,1,Yes,Yes,EUR1.3 b deal; most produced in Spain; delivery 2013-2019
30973,France,Suriname,1,,FPB-98,Patrol craft,New,,2012,,2013 - 2013,1,Yes,,Part of 17 m deal (incl 2 FPB-72 patrol craft); for police
37146,France,Sweden,13,,NH-90 TTH,Helicopter,New,,2001,,2011 - 2013,5,Yes,Yes,Part of $660 m deal (most assembled in Finland; offsets 100% incl $220 m production of parts for 200 NH-90 in Sweden); NH-90TTT version; incl 3 for SAR; Swedish designation Hkp-14; delivery 2011-2019; option on 7 more
31167,France,Thailand,8,,AS-350/AS-550 Fennec,Light helicopter,New,,2011,,2013 - 2013,8,Yes,,THB1.6 b ($52 m) deal; AS-550C3 version
4612,France,Turkey,15,,Ocean Master,MP aircraft radar,New,,2002,,2012 - 2013,9,Yes,,Part of $400 m deal; part of 'Meltem' programme; for 9 CN-235MPA from Spain and 6 ATR-70 MP aircraft from Italy
30227,France,United Arab Emirates,150,,MM-40-3 Exocet,Anti-ship MI/SSM,New,,2006,,2010 - 2013,75,Yes,,Part of EUR400 m deal; for Baynunah corvettes and probably for Abu Dhabi frigate and Falaj-2 covettes
36811,France,United Arab Emirates,20,Yes,MICA,BVRAAM,New,,2011,Yes,2013 - 2013,20,Yes,,VL-MICA SAM version; For Falaj-2 corvettes
23341,France,United Arab Emirates,1,,CAPTAS,ASW sonar,New,,2009,Yes,2013 - 2013,1,,,For 1 Abu Dhabi frigate from Italy; CAPTAS Nano or CAPTAS Mk-2 version
23214,France,United Arab Emirates,4,,Baynunah,Corvette,New,,2003,,2011 - 2013,3,Yes,Yes,$500-545 m 'Project Baynunah' (incl $205 m for French shipyard); 3 assembled in UAE
